,Juego_repr,Punto,Stddev_punto,Juego_value
80, 30 (1),100.0,0.0,30.4
81, 30 (2),95.50145333333333,1.6382108666666668,30.3
82, 30 (3),91.15835333333332,2.243206,30.2
83, 30 (4),86.96787333333333,2.657384,30.1
76, 29 (1),87.05565833333333,2.3983,29.399999999999995
77, 29 (2),83.44178333333333,2.6600016666666666,29.3
78, 29 (3),79.941475,2.8679366666666666,29.2
79, 29 (4),76.55121666666666,3.0357241666666663,29.100000000000005
72, 28 (1),75.36248181818182,5.440842727272727,28.4
73, 28 (2),67.75886818181817,5.835598181818182,28.3
74, 28 (3),60.8296590909091,6.047263636363637,28.2
75, 28 (4),54.46315,6.144090454545455,28.1
68, 27 (1),52.4104875,3.62091125,27.4
69, 27 (2),46.93993125,3.63114875,27.3
70, 27 (3),41.9223,3.5938825,27.2
71, 27 (4),37.32345,3.529163125,27.1
64, 26 (1),35.73139411764706,3.796364705882353,26.4
65, 26 (2),31.33074117647059,3.6815852941176472,26.3
66, 26 (3),27.374876470588237,3.540230588235294,26.2
67, 26 (4),23.82290588235294,3.3732464705882355,26.1
60, 25 (1),22.431033333333332,4.2645542857142855,25.4
61, 25 (2),18.75970476190476,3.9850790476190476,25.300000000000004
62, 25 (3),15.60577619047619,3.6934819047619047,25.199999999999996
63, 25 (4),12.905580952380953,3.3942189523809523,25.1
56, 24 (1),12.698653846153848,4.793434153846154,24.4
57, 24 (2),11.60956153846154,4.668055615384615,24.300000000000004
58, 24 (3),10.61016846153846,4.554000384615384,24.199999999999996
59, 24 (4),9.664215384615385,4.414621461538461,24.1
52, 23 (1),9.152738461538462,2.5645995384615383,23.4
53, 23 (2),8.070725384615384,2.428876769230769,23.300000000000004
54, 23 (3),7.093363846153846,2.292964076923077,23.199999999999996
55, 23 (4),6.221331538461538,2.159057,23.1
48, 22 (1),5.487622380952381,2.5915710476190474,22.4
49, 22 (2),3.7007819047619046,2.1393171904761905,22.3
50, 22 (3),2.4730614285714285,1.7498147142857141,22.2
51, 22 (4),1.639819523809524,1.4184186666666665,22.1
44, 21 (1),1.639980909090909,1.1216364545454545,21.4
45, 21 (2),1.3475063636363638,1.0219464545454544,21.3
46, 21 (3),1.0987456363636363,0.9275054545454545,21.2
47, 21 (4),0.8919773636363636,0.8382338181818182,21.1
40, 20 (1),0.848673,1.5659034444444444,20.4
41, 20 (2),0.7217232222222223,1.480745,20.3
42, 20 (3),0.6138804444444443,1.4147349999999999,20.2
43, 20 (4),0.5218235555555556,1.3613533333333332,20.1
36, 19 (1),0.41342025,0.7423200833333334,19.4
37, 19 (2),0.30581075,0.6364078333333333,19.3
38, 19 (3),0.22394533333333333,0.5432491666666667,19.2
39, 19 (4),0.16247058333333333,0.4611210833333333,19.1
32, 18 (1),0.1397694875,0.40138573749999995,18.4
33, 18 (2),0.102873825,0.34213068750000003,18.3
34, 18 (3),0.0744189125,0.28760425,18.2
35, 18 (4),0.052474262499999993,0.2364620375,18.1
28, 17 (1),0.04211004285714286,0.18883517142857142,17.4
29, 17 (2),0.028386242857142856,0.15338465714285715,17.3
30, 17 (3),0.0189041,0.12440048571428572,17.2
31, 17 (4),0.01223098,0.09810672857142856,17.1
24, 16 (1),0.00887463,0.1499887,16.4
25, 16 (2),0.00530276375,0.126458875,16.3
26, 16 (3),0.0029042675,0.0896101375,16.2
27, 16 (4),0.002000762125,0.1065525,16.1
20, 15 (1),0.0017353166666666667,0.029231866666666665,15.4
21, 15 (2),0.0012600043333333333,0.024957999999999998,15.300000000000002
22, 15 (3),0.0009248543333333333,0.021426233333333333,15.199999999999998
23, 15 (4),0.0006260166666666667,0.017618106666666664,15.1
16, 14 (1),0.00043766599999999997,0.014973073333333331,14.4
17, 14 (2),0.000305578,0.012523273333333335,14.300000000000002
18, 14 (3),0.00017319000000000001,0.009404563333333333,14.199999999999998
19, 14 (4),0.00011283116666666666,0.007622230000000001,14.1
12, 13 (1),4.370088333333333e-05,0.005516644666666667,13.4
13, 13 (2),2.3191917e-05,0.004543010666666666,13.300000000000002
14, 13 (3),4.166433333333334e-06,0.0006090999999999999,13.199999999999998
15, 13 (4),1.793905e-06,0.00039763499999999997,13.1
8, 12 (1),8.78345e-07,0.0003406275,12.4
9, 12 (2),3.677585e-06,0.0014249455000000001,12.3
10, 12 (3),0.0,0.0,12.2
11, 12 (4),0.0,0.0,12.1
4, 11 (1),0.0,0.0,11.4
5, 11 (2),0.0,0.0,11.3
6, 11 (3),0.0,0.0,11.2
7, 11 (4),0.0,0.0,11.1
0, 10 (1),0.0,0.0,10.4
1, 10 (2),0.0,0.0,10.3
2, 10 (3),0.0,0.0,10.2
3, 10 (4),0.0,0.0,10.1
96, 9 (1),0.0,0.0,9.4
97, 9 (2),0.0,0.0,9.3
98, 9 (3),0.0,0.0,9.2
99, 9 (4),0.0,0.0,9.1
92, 8 (1),0.0,0.0,8.4
93, 8 (2),0.0,0.0,8.3
94, 8 (3),0.0,0.0,8.2
95, 8 (4),0.0,0.0,8.1
88, 7 (1),0.0,0.0,7.4
89, 7 (2),0.0,0.0,7.3
90, 7 (3),0.0,0.0,7.2
91, 7 (4),0.0,0.0,7.1
84, 4 (1),0.0,0.0,4.4
85, 4 (2),0.0,0.0,4.3
86, 4 (3),0.0,0.0,4.2
87, 4 (4),0.0,0.0,4.1
